date,year,quarter,month_num,month_name,year_month,day,day_of_week,is_weekend
2016-09-04,2016,Q3,9,September,2016-09,4,Sunday,True
2016-09-05,2016,Q3,9,September,2016-09,5,Monday,False
2016-09-06,2016,Q3,9,September,2016-09,6,Tuesday,False
2016-09-07,2016,Q3,9,September,2016-09,7,Wednesday,False
2016-09-08,2016,Q3,9,September,2016-09,8,Thursday,False
2016-09-09,2016,Q3,9,September,2016-09,9,Friday,False
2016-09-10,2016,Q3,9,September,2016-09,10,Saturday,True
2016-09-11,2016,Q3,9,September,2016-09,11,Sunday,True
2016-09-12,2016,Q3,9,September,2016-09,12,Monday,False
2016-09-13,2016,Q3,9,September,2016-09,13,Tuesday,False
2016-09-14,2016,Q3,9,September,2016-09,14,Wednesday,False
2016-09-15,2016,Q3,9,September,2016-09,15,Thursday,False
2016-09-16,2016,Q3,9,September,2016-09,16,Friday,False
2016-09-17,2016,Q3,9,September,2016-09,17,Saturday,True
2016-09-18,2016,Q3,9,September,2016-09,18,Sunday,True
2016-09-19,2016,Q3,9,September,2016-09,19,Monday,False
2016-09-20,2016,Q3,9,September,2016-09,20,Tuesday,False
2016-09-21,2016,Q3,9,September,2016-09,21,Wednesday,False
2016-09-22,2016,Q3,9,September,2016-09,22,Thursday,False
2016-09-23,2016,Q3,9,September,2016-09,23,Friday,False
2016-09-24,2016,Q3,9,September,2016-09,24,Saturday,True
2016-09-25,2016,Q3,9,September,2016-09,25,Sunday,True
2016-09-26,2016,Q3,9,September,2016-09,26,Monday,False
2016-09-27,2016,Q3,9,September,2016-09,27,Tuesday,False
2016-09-28,2016,Q3,9,September,2016-09,28,Wednesday,False
2016-09-29,2016,Q3,9,September,2016-09,29,Thursday,False
2016-09-30,2016,Q3,9,September,2016-09,30,Friday,False
2016-10-01,2016,Q4,10,October,2016-10,1,Saturday,True
2016-10-02,2016,Q4,10,October,2016-10,2,Sunday,True
2016-10-03,2016,Q4,10,October,2016-10,3,Monday,False
2016-10-04,2016,Q4,10,October,2016-10,4,Tuesday,False
2016-10-05,2016,Q4,10,October,2016-10,5,Wednesday,False
2016-10-06,2016,Q4,10,October,2016-10,6,Thursday,False
2016-10-07,2016,Q4,10,October,2016-10,7,Friday,False
2016-10-08,2016,Q4,10,October,2016-10,8,Saturday,True
2016-10-09,2016,Q4,10,October,2016-10,9,Sunday,True
2016-10-10,2016,Q4,10,October,2016-10,10,Monday,False
2016-10-11,2016,Q4,10,October,2016-10,11,Tuesday,False
2016-10-12,2016,Q4,10,October,2016-10,12,Wednesday,False
2016-10-13,2016,Q4,10,October,2016-10,13,Thursday,False
2016-10-14,2016,Q4,10,October,2016-10,14,Friday,False
2016-10-15,2016,Q4,10,October,2016-10,15,Saturday,True
2016-10-16,2016,Q4,10,October,2016-10,16,Sunday,True
2016-10-17,2016,Q4,10,October,2016-10,17,Monday,False
2016-10-18,2016,Q4,10,October,2016-10,18,Tuesday,False
2016-10-19,2016,Q4,10,October,2016-10,19,Wednesday,False
2016-10-20,2016,Q4,10,October,2016-10,20,Thursday,False
2016-10-21,2016,Q4,10,October,2016-10,21,Friday,False
2016-10-22,2016,Q4,10,October,2016-10,22,Saturday,True
2016-10-23,2016,Q4,10,October,2016-10,23,Sunday,True
2016-10-24,2016,Q4,10,October,2016-10,24,Monday,False
2016-10-25,2016,Q4,10,October,2016-10,25,Tuesday,False
2016-10-26,2016,Q4,10,October,2016-10,26,Wednesday,False
2016-10-27,2016,Q4,10,October,2016-10,27,Thursday,False
2016-10-28,2016,Q4,10,October,2016-10,28,Friday,False
2016-10-29,2016,Q4,10,October,2016-10,29,Saturday,True
2016-10-30,2016,Q4,10,October,2016-10,30,Sunday,True
2016-10-31,2016,Q4,10,October,2016-10,31,Monday,False
2016-11-01,2016,Q4,11,November,2016-11,1,Tuesday,False
2016-11-02,2016,Q4,11,November,2016-11,2,Wednesday,False
2016-11-03,2016,Q4,11,November,2016-11,3,Thursday,False
2016-11-04,2016,Q4,11,November,2016-11,4,Friday,False
2016-11-05,2016,Q4,11,November,2016-11,5,Saturday,True
2016-11-06,2016,Q4,11,November,2016-11,6,Sunday,True
2016-11-07,2016,Q4,11,November,2016-11,7,Monday,False
2016-11-08,2016,Q4,11,November,2016-11,8,Tuesday,False
2016-11-09,2016,Q4,11,November,2016-11,9,Wednesday,False
2016-11-10,2016,Q4,11,November,2016-11,10,Thursday,False
2016-11-11,2016,Q4,11,November,2016-11,11,Friday,False
2016-11-12,2016,Q4,11,November,2016-11,12,Saturday,True
2016-11-13,2016,Q4,11,November,2016-11,13,Sunday,True
2016-11-14,2016,Q4,11,November,2016-11,14,Monday,False
2016-11-15,2016,Q4,11,November,2016-11,15,Tuesday,False
2016-11-16,2016,Q4,11,November,2016-11,16,Wednesday,False
2016-11-17,2016,Q4,11,November,2016-11,17,Thursday,False
2016-11-18,2016,Q4,11,November,2016-11,18,Friday,False
2016-11-19,2016,Q4,11,November,2016-11,19,Saturday,True
2016-11-20,2016,Q4,11,November,2016-11,20,Sunday,True
2016-11-21,2016,Q4,11,November,2016-11,21,Monday,False
2016-11-22,2016,Q4,11,November,2016-11,22,Tuesday,False
2016-11-23,2016,Q4,11,November,2016-11,23,Wednesday,False
2016-11-24,2016,Q4,11,November,2016-11,24,Thursday,False
2016-11-25,2016,Q4,11,November,2016-11,25,Friday,False
2016-11-26,2016,Q4,11,November,2016-11,26,Saturday,True
2016-11-27,2016,Q4,11,November,2016-11,27,Sunday,True
2016-11-28,2016,Q4,11,November,2016-11,28,Monday,False
2016-11-29,2016,Q4,11,November,2016-11,29,Tuesday,False
2016-11-30,2016,Q4,11,November,2016-11,30,Wednesday,False
2016-12-01,2016,Q4,12,December,2016-12,1,Thursday,False
2016-12-02,2016,Q4,12,December,2016-12,2,Friday,False
2016-12-03,2016,Q4,12,December,2016-12,3,Saturday,True
2016-12-04,2016,Q4,12,December,2016-12,4,Sunday,True
2016-12-05,2016,Q4,12,December,2016-12,5,Monday,False
2016-12-06,2016,Q4,12,December,2016-12,6,Tuesday,False
2016-12-07,2016,Q4,12,December,2016-12,7,Wednesday,False
2016-12-08,2016,Q4,12,December,2016-12,8,Thursday,False
2016-12-09,2016,Q4,12,December,2016-12,9,Friday,False
2016-12-10,2016,Q4,12,December,2016-12,10,Saturday,True
2016-12-11,2016,Q4,12,December,2016-12,11,Sunday,True
2016-12-12,2016,Q4,12,December,2016-12,12,Monday,False
2016-12-13,2016,Q4,12,December,2016-12,13,Tuesday,False
2016-12-14,2016,Q4,12,December,2016-12,14,Wednesday,False
2016-12-15,2016,Q4,12,December,2016-12,15,Thursday,False
2016-12-16,2016,Q4,12,December,2016-12,16,Friday,False
2016-12-17,2016,Q4,12,December,2016-12,17,Saturday,True
2016-12-18,2016,Q4,12,December,2016-12,18,Sunday,True
2016-12-19,2016,Q4,12,December,2016-12,19,Monday,False
2016-12-20,2016,Q4,12,December,2016-12,20,Tuesday,False
2016-12-21,2016,Q4,12,December,2016-12,21,Wednesday,False
2016-12-22,2016,Q4,12,December,2016-12,22,Thursday,False
2016-12-23,2016,Q4,12,December,2016-12,23,Friday,False
2016-12-24,2016,Q4,12,December,2016-12,24,Saturday,True
2016-12-25,2016,Q4,12,December,2016-12,25,Sunday,True
2016-12-26,2016,Q4,12,December,2016-12,26,Monday,False
2016-12-27,2016,Q4,12,December,2016-12,27,Tuesday,False
2016-12-28,2016,Q4,12,December,2016-12,28,Wednesday,False
2016-12-29,2016,Q4,12,December,2016-12,29,Thursday,False
2016-12-30,2016,Q4,12,December,2016-12,30,Friday,False
2016-12-31,2016,Q4,12,December,2016-12,31,Saturday,True
2017-01-01,2017,Q1,1,January,2017-01,1,Sunday,True
2017-01-02,2017,Q1,1,January,2017-01,2,Monday,False
2017-01-03,2017,Q1,1,January,2017-01,3,Tuesday,False
2017-01-04,2017,Q1,1,January,2017-01,4,Wednesday,False
2017-01-05,2017,Q1,1,January,2017-01,5,Thursday,False
2017-01-06,2017,Q1,1,January,2017-01,6,Friday,False
2017-01-07,2017,Q1,1,January,2017-01,7,Saturday,True
2017-01-08,2017,Q1,1,January,2017-01,8,Sunday,True
2017-01-09,2017,Q1,1,January,2017-01,9,Monday,False
2017-01-10,2017,Q1,1,January,2017-01,10,Tuesday,False
2017-01-11,2017,Q1,1,January,2017-01,11,Wednesday,False
2017-01-12,2017,Q1,1,January,2017-01,12,Thursday,False
2017-01-13,2017,Q1,1,January,2017-01,13,Friday,False
2017-01-14,2017,Q1,1,January,2017-01,14,Saturday,True
2017-01-15,2017,Q1,1,January,2017-01,15,Sunday,True
2017-01-16,2017,Q1,1,January,2017-01,16,Monday,False
