date,actual_revenue,actual_revenue_fc,arima_forecast,prophet_forecast,lstm_forecast
2016-09-04,72.89,,,,
2016-09-05,59.5,,,,
2016-09-15,134.97,,,,
2016-10-02,100.0,,,,
2016-10-03,463.48,,,,
2016-10-04,9940.960000000001,,,,
2016-10-05,8343.25,,,,
2016-10-06,7960.51,,,,
2016-10-07,7228.05,,,,
2016-10-08,8441.85,,,,
2016-10-09,3336.99,,,,
2016-10-10,3692.57,,,,
2016-12-23,10.9,,,,
2017-01-05,396.90000000000003,,,,
2017-01-06,916.38,,,,
2017-01-07,1351.9,,,,
2017-01-08,709.58,,,,
2017-01-09,673.79,,,,
2017-01-10,1434.87,,,,
2017-01-11,2776.16,,,,
2017-01-12,2234.58,,,,
2017-01-13,2505.58,,,,
2017-01-14,1112.69,,,,
2017-01-15,2199.57,,,,
2017-01-16,3307.92,,,,
2017-01-17,3302.5299999999997,,,,
2017-01-18,4032.36,,,,
2017-01-19,3553.95,,,,
2017-01-20,4035.83,,,,
2017-01-21,2458.6,,,,
2017-01-22,3619.27,,,,
2017-01-23,6581.47,,,,
2017-01-24,5955.17,,,,
2017-01-25,8977.23,,,,
2017-01-26,13157.66,,,,
2017-01-27,11432.95,,,,
2017-01-28,5211.01,,,,
2017-01-29,6457.66,,,,
2017-01-30,10801.13,,,,
2017-01-31,11116.13,,,,
2017-02-01,8219.75,,,,
2017-02-02,8917.64,,,,
2017-02-03,10183.74,,,,
2017-02-04,13968.16,,,,
2017-02-05,8503.79,,,,
2017-02-06,9539.44,,,,
2017-02-07,14143.48,,,,
2017-02-08,11958.27,,,,
2017-02-09,9190.289999999999,,,,
2017-02-10,14222.64,,,,
2017-02-11,4307.56,,,,
2017-02-12,15126.15,,,,
2017-02-13,10785.15,,,,
2017-02-14,12694.11,,,,
2017-02-15,6770.15,,,,
2017-02-16,6348.04,,,,
2017-02-17,6801.26,,,,
2017-02-18,7297.33,,,,
2017-02-19,3797.9,,,,
2017-02-20,7878.3,,,,
2017-02-21,8285.64,,,,
2017-02-22,8033.05,,,,
2017-02-23,6940.82,,,,
2017-02-24,6682.21,,,,
2017-02-25,4196.59,,,,
2017-02-26,5446.68,,,,
2017-02-27,5844.12,,,,
2017-02-28,11220.76,,,,
2017-03-01,12555.41,,,,
2017-03-02,11377.0,,,,
2017-03-03,12364.44,,,,
2017-03-04,12658.51,,,,
2017-03-05,6954.62,,,,
2017-03-06,10336.64,,,,
2017-03-07,11883.52,,,,
2017-03-08,14612.46,,,,
2017-03-09,11705.54,,,,
2017-03-10,12358.87,,,,
2017-03-11,10852.97,,,,
2017-03-12,6612.16,,,,
2017-03-13,16958.05,,,,
2017-03-14,14243.66,,,,
2017-03-15,14999.33,,,,
2017-03-16,14269.78,,,,
2017-03-17,11970.4,,,,
2017-03-18,16433.82,,,,
2017-03-19,6649.34,,,,
2017-03-20,17096.49,,,,
2017-03-21,11349.130000000001,,,,
2017-03-22,14188.97,,,,
2017-03-23,16375.55,,,,
2017-03-24,10177.87,,,,
2017-03-25,9423.04,,,,
2017-03-26,6320.95,,,,
2017-03-27,16356.97,,,,
2017-03-28,12373.11,,,,
2017-03-29,8660.54,,,,
2017-03-30,10025.6,,,,
2017-03-31,12199.56,,,,
2017-04-01,17697.37,,,,
2017-04-02,9129.88,,,,
2017-04-03,9156.76,,,,
2017-04-04,12301.65,,,,
2017-04-05,18902.94,,,,
2017-04-06,23168.89,,,,
2017-04-07,13300.65,,,,
2017-04-08,8785.09,,,,
2017-04-09,8222.65,,,,
2017-04-10,11732.31,,,,
2017-04-11,8296.51,,,,
2017-04-12,8209.2,,,,
2017-04-13,9691.43,,,,
2017-04-14,8168.66,,,,
2017-04-15,8333.94,,,,
2017-04-16,5455.96,,,,
2017-04-17,9416.67,,,,
2017-04-18,21286.72,,,,
2017-04-19,12103.46,,,,
2017-04-20,13373.14,,,,
2017-04-21,8457.71,,,,
2017-04-22,12860.18,,,,
2017-04-23,10038.95,,,,
2017-04-24,15150.03,,,,
2017-04-25,14671.74,,,,
2017-04-26,15919.75,,,,
2017-04-27,10300.71,,,,
2017-04-28,15790.49,,,,
2017-04-29,11912.630000000001,,,,
2017-04-30,8091.16,,,,
2017-05-01,12580.27,,,,
2017-05-02,17640.2,,,,
2017-05-03,10053.56,,,,
2017-05-04,13508.55,,,,
2017-05-05,13969.76,,,,
2017-05-06,16219.98,,,,
2017-05-07,17167.87,,,,
2017-05-08,16148.41,,,,
2017-05-09,20837.05,,,,
2017-05-10,20927.49,,,,
2017-05-11,18164.55,,,,
2017-05-12,12635.710000000001,,,,
2017-05-13,9118.65,,,,
2017-05-14,15219.7,,,,
2017-05-15,17962.03,,,,
2017-05-16,21174.88,,,,
2017-05-17,18343.93,,,,
2017-05-18,18245.13,,,,
2017-05-19,18397.670000000002,,,,
2017-05-20,10632.41,,,,
2017-05-21,17426.2,,,,
2017-05-22,25414.2,,,,
2017-05-23,17798.38,,,,
2017-05-24,23350.97,,,,
2017-05-25,15383.79,,,,
2017-05-26,10651.18,,,,
2017-05-27,14139.51,,,,
2017-05-28,9262.62,,,,
2017-05-29,18912.86,,,,
2017-05-30,14345.48,,,,
2017-05-31,20438.15,,,,
2017-06-01,19305.25,,,,
2017-06-02,19131.33,,,,
2017-06-03,10450.35,,,,
2017-06-04,13863.23,,,,
2017-06-05,24184.55,,,,
2017-06-06,14589.15,,,,
2017-06-07,12771.66,,,,
2017-06-08,18503.08,,,,
2017-06-09,16051.35,,,,
2017-06-10,8220.35,,,,
2017-06-11,14303.56,,,,
2017-06-12,14803.11,,,,
2017-06-13,14016.09,,,,
2017-06-14,20441.670000000002,,,,
2017-06-15,12737.67,,,,
2017-06-16,12908.23,,,,
2017-06-17,11264.77,,,,
2017-06-18,17836.16,,,,
2017-06-19,22764.83,,,,
2017-06-20,10968.33,,,,
2017-06-21,6183.650000000001,,,,
2017-06-22,8826.81,,,,
2017-06-23,13282.98,,,,
2017-06-24,8325.65,,,,
2017-06-25,17646.18,,,,
2017-06-26,13414.76,,,,
2017-06-27,16681.61,,,,
2017-06-28,14655.82,,,,
2017-06-29,12169.53,,,,
2017-06-30,12736.890000000001,,,,
2017-07-01,12151.75,,,,
2017-07-02,11489.44,,,,
2017-07-03,16611.05,,,,
2017-07-04,15484.24,,,,
2017-07-05,20789.56,,,,
2017-07-06,22223.72,,,,
2017-07-07,13662.87,,,,
2017-07-08,10206.86,,,,
2017-07-09,8197.38,,,,
2017-07-10,17326.93,,,,
2017-07-11,20213.79,,,,
2017-07-12,19180.22,,,,
2017-07-13,14531.0,,,,
2017-07-14,18745.15,,,,
2017-07-15,10930.56,,,,
2017-07-16,13421.6,,,,
2017-07-17,21554.98,,,,
2017-07-18,28238.2,,,,
2017-07-19,16545.34,,,,
2017-07-20,19174.08,,,,
2017-07-21,13448.85,,,,
