month,revenue,year,month_num
2016-09-01,267.36,2016,9
2016-10-01,49507.66,2016,10
2016-12-01,10.9,2016,12
2017-01-01,120312.87,2017,1
2017-02-01,247303.02,2017,2
2017-03-01,374344.3,2017,3
2017-04-01,359927.23,2017,4
2017-05-01,506071.14,2017,5
2017-06-01,433038.6,2017,6
2017-07-01,498031.48,2017,7
2017-08-01,573971.68,2017,8
2017-09-01,624401.6900000001,2017,9
2017-10-01,664219.43,2017,10
2017-11-01,1010271.37,2017,11
2017-12-01,743914.17,2017,12
2018-01-01,950030.36,2018,1
2018-02-01,844178.71,2018,2
2018-03-01,983213.4400000001,2018,3
2018-04-01,996647.75,2018,4
2018-05-01,996517.68,2018,5
2018-06-01,865124.31,2018,6
2018-07-01,895507.22,2018,7
2018-08-01,854686.33,2018,8
2018-09-01,145.0,2018,9
