region,revenue,orders,quantity
SP,5202955.05,41375,47449
RJ,1824092.67,12762,14579
MG,1585308.03,11544,13129
RS,750304.02,5432,6235
PR,683083.76,4998,5740
SC,520553.34,3612,4176
BA,511349.99,3358,3799
DF,302603.94,2125,2406
GO,294591.95,2007,2333
ES,275037.31,2025,2256
PE,262788.02999999997,1648,1806
CE,227254.71,1327,1478
PA,178947.81,970,1080
MT,156453.53,903,1055
MA,119648.22,740,824
MS,116812.64,709,819
PB,115268.08,532,602
PI,86914.08,493,542
RN,83034.98,482,529
AL,80314.81,411,444
SE,58920.850000000006,345,385
TO,49621.74,279,315
RO,46140.64,247,278
AM,22356.84,147,165
AC,15982.949999999999,81,92
AP,13474.300000000001,68,82
RR,7829.429999999999,46,52
