region,city,revenue,orders,quantity
SP,sao paulo,1914924.54,15402,17808
RJ,rio de janeiro,992538.86,6834,7837
MG,belo horizonte,355611.13,2750,3144
DF,brasilia,301920.25,2116,2392
PR,curitiba,211738.06,1510,1751
RS,porto alegre,190562.08,1372,1612
SP,campinas,187844.53,1429,1654
BA,salvador,181104.42,1238,1412
SP,guarulhos,144268.39,1178,1329
RJ,niteroi,117907.12,845,980
GO,goiania,106111.17,687,817
SP,sao bernardo do campo,104540.99,928,1060
SP,santos,98777.09,706,820
CE,fortaleza,97868.06,650,728
SP,santo andre,92028.6,792,890
PE,recife,89803.01,612,677
SC,florianopolis,85925.99,565,660
SP,osasco,82157.86,742,850
SP,jundiai,81310.3,560,656
PA,belem,80078.49,441,487
SP,sao jose dos campos,78650.94,686,781
SP,sorocaba,76551.76,624,703
SP,ribeirao preto,65637.01,508,582
MG,juiz de fora,65140.77,426,473
RJ,nova iguacu,60234.09,439,503
MS,campo grande,57121.67,315,360
PB,joao pessoa,53164.81,254,299
ES,vitoria,53160.79,377,423
RJ,sao goncalo,52514.84,406,444
SP,piracicaba,52307.98,366,414
SP,mogi das cruzes,52007.78,379,440
SP,barueri,51328.35,429,479
MA,sao luis,51026.91,348,391
PI,teresina,49967.43,280,304
MG,contagem,49542.22,423,484
MG,uberlandia,48551.97,372,408
ES,vila velha,48285.18,333,366
SP,sao jose do rio preto,47070.55,333,380
PR,londrina,46465.26,303,333
AL,maceio,44702.48,246,260
SP,maua,43639.96,319,346
SP,bauru,39462.26,270,298
MT,cuiaba,39171.17,248,297
SP,praia grande,39158.38,306,350
RS,caxias do sul,38480.07,224,251
PR,maringa,37862.29,267,317
SP,indaiatuba,37334.1,278,328
SE,aracaju,36507.8,220,243
ES,serra,36357.33,285,314
RN,natal,35929.37,205,230
SP,taboao da serra,35733.3,290,329
MG,divinopolis,35301.77,135,164
SC,joinville,34772.57,263,290
RJ,campos dos goytacazes,34660.36,238,258
RJ,duque de caxias,34029.68,263,302
SP,marilia,33904.28,196,209
RJ,volta redonda,33354.0,228,251
RJ,petropolis,33230.1,238,282
SP,sao caetano do sul,32452.6,275,305
SP,carapicuiba,32235.88,325,376
RS,santa maria,31765.81,194,229
RJ,macae,31337.8,237,272
SP,cotia,31082.38,248,278
MG,betim,29992.31,201,221
SP,guaruja,29773.76,224,261
SP,sao carlos,29743.95,233,271
SP,taubate,29724.56,267,303
SP,diadema,29393.24,284,330
MG,uberaba,28688.24,189,213
RJ,nova friburgo,28024.89,150,163
BA,feira de santana,27652.19,185,197
RS,canoas,26785.25,209,233
MG,montes claros,26690.89,211,239
SP,presidente prudente,26196.13,160,181
SP,suzano,25334.87,233,257
SP,americana,24926.37,221,262
SC,blumenau,24755.36,187,213
PR,cascavel,23695.62,148,178
SP,santana de parnaiba,23294.05,182,213
SP,limeira,23083.89,189,223
SP,valinhos,22546.55,183,216
SP,franca,22443.73,159,199
RS,pelotas,22387.13,184,208
