product_category,revenue,quantity,orders,rank
health_beauty,1258681.34,9670,8836,1
watches_gifts,1205005.68,5991,5624,2
bed_bath_table,1036988.68,11115,9417,3
sports_leisure,988048.97,8641,7720,4
computers_accessories,911954.32,7827,6689,5
furniture_decor,729762.49,8334,6449,6
cool_stuff,635290.85,3796,3632,7
housewares,632248.66,6964,5884,8
auto,592720.11,4235,3897,9
garden_tools,485256.46,4347,3518,10
toys,483946.6,4117,3886,11
baby,411764.89,3065,2885,12
perfumery,399124.87,3419,3162,13
telephony,323667.53,4545,4199,14
office_furniture,273960.7,1691,1273,15
stationery,230943.23,2517,2311,16
computers,222963.13,203,181,17
pet_shop,214315.41,1947,1710,18
musical_instruments,191498.88,680,628,19
small_appliances,190648.58,679,630,20
Unknown,179535.28,1603,1451,21
electronics,160246.74,2767,2550,22
consoles_games,157465.22,1137,1062,23
fashion_bags_accessories,152823.54,2031,1864,24
construction_tools_construction,144677.59,929,748,25
luggage_accessories,140429.98,1092,1034,26
home_appliances_2,113317.74,238,234,27
home_construction,83088.12,604,490,28
home_appliances,80171.53,771,764,29
agro_industry_and_commerce,72530.47,212,182,30
furniture_living_room,68916.56,503,422,31
fixed_telephony,59583.0,264,217,32
home_confort,58572.04,434,397,33
air_conditioning,55024.96,297,253,34
audio,50688.5,364,350,35
small_appliances_home_oven_and_coffee,47445.71,76,75,36
books_general_interest,46856.88,553,512,37
kitchen_dining_laundry_garden_furniture,46328.37,281,248,38
construction_tools_lights,41080.0,304,244,39
construction_tools_safety,40544.52,194,167,40
industry_commerce_and_business,39669.61,268,235,41
food,29393.41,510,450,42
market_place,28378.47,311,280,43
costruction_tools_garden,25715.89,238,194,44
art,24202.64,209,202,45
fashion_shoes,23562.77,262,240,46
drinks,22428.7,379,297,47
signaling_and_security,21509.23,199,140,48
furniture_bedroom,20028.78,109,95,49
books_technical,19096.06,267,260,50
costruction_tools_tools,15903.95,103,97,51
food_drink,15179.48,278,227,52
fashion_male_clothing,10797.82,132,112,53
fashion_underwear_beach,9541.55,131,121,54
christmas_supplies,8800.82,153,128,55
tablets_printing_image,7528.41,83,79,56
cine_photo,6933.46,72,65,57
music,6034.35,38,38,58
dvds_blu_ray,5999.39,64,59,59
books_imported,4639.85,60,53,60
party_supplies,4485.18,43,39,61
furniture_mattress_and_upholstery,4368.08,38,38,62
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,14,63
fashio_female_clothing,2803.64,48,39,64
fashion_sport,2119.51,30,27,65
la_cuisine,2054.99,14,13,66
arts_and_craftmanship,1814.01,24,23,67
diapers_and_hygiene,1567.59,39,27,68
pc_gamer,1545.95,9,8,69
flowers,1110.04,33,29,70
home_comfort_2,760.27,30,24,71
cds_dvds_musicals,730.0,14,12,72
fashion_childrens_clothes,569.85,8,8,73
security_and_services,283.28999999999996,2,2,74
